element_in,element_in_cost,element_out,element_out_cost,entry,event,time
71,58,199,66,18033,24,2025-02-01T10:23:48.596809Z
235,51,15,55,18033,24,2025-02-01T10:23:48.596453Z
321,75,82,74,18033,23,2025-01-25T13:22:14.277772Z
199,66,514,74,18033,20,2025-01-02T23:46:23.659462Z
58,88,4,79,18033,20,2025-01-02T23:46:23.654791Z
211,47,399,46,18033,19,2024-12-29T12:47:40.614032Z
129,59,541,68,18033,17,2024-12-21T10:06:28.601783Z
398,72,372,61,18033,17,2024-12-21T10:06:28.595427Z
399,45,355,46,18033,16,2024-12-14T13:09:30.379838Z
311,69,533,47,18033,14,2024-12-03T17:10:49.454858Z
514,74,99,74,18033,14,2024-12-03T17:10:49.451087Z
15,55,347,55,18033,12,2024-11-23T10:35:28.278868Z
3,61,311,69,18033,12,2024-11-23T09:59:10.867902Z
541,66,351,153,18033,10,2024-11-02T10:51:43.828872Z
328,127,608,45,18033,10,2024-11-02T10:51:43.824073Z
182,109,503,98,18033,9,2024-10-25T17:22:51.745597Z
533,45,18,60,18033,9,2024-10-25T17:22:51.741650Z
372,62,78,56,18033,8,2024-10-19T09:57:42.751196Z
503,98,17,100,18033,8,2024-10-19T09:34:42.430741Z
347,55,15,55,18033,6,2024-09-27T22:19:01.841549Z
608,45,327,79,18033,6,2024-09-27T22:19:01.841199Z
231,43,495,55,18033,6,2024-09-27T22:19:01.840900Z
4,81,473,45,18033,6,2024-09-27T22:19:01.840558Z
18,60,255,46,18033,6,2024-09-26T12:58:39.995937Z
473,45,129,55,18033,6,2024-09-26T12:58:39.995700Z
82,75,180,76,18033,6,2024-09-26T12:58:39.995457Z
351,153,58,90,18033,6,2024-09-26T12:58:39.995222Z
78,56,328,126,18033,6,2024-09-26T12:58:39.994964Z
355,47,116,40,18033,6,2024-09-26T12:58:39.994649Z
270,40,275,40,18033,6,2024-09-25T23:01:14.576793Z
327,79,317,75,18033,6,2024-09-25T22:59:09.051910Z
17,100,503,100,18033,6,2024-09-25T22:58:35.243410Z
15,55,201,45,18033,6,2024-09-21T20:42:39.017032Z
99,71,366,83,18033,6,2024-09-21T20:42:39.016568Z
180,76,401,84,18033,6,2024-09-21T20:42:39.011212Z
58,90,82,75,18033,3,2024-08-31T07:41:28.193637Z
54,50,181,65,18033,3,2024-08-25T21:19:53.134861Z
